梁,木,11,liánɡ
溅,氵,12,jiàn
窍,穴,10,qiào
導,寸,6,dǎo
划,刂,6,huá
皕,白,3,yì
栖,木,10,qī
渚,氵,11,zhǔ
芝,艹,6,zhī
搞,扌,13,ɡǎo
颡,页,16,sǎnɡ
钩,钅,9,ɡōu
榫,木,14,sǔn
瘪,疒,15,biě
谮,讠,14,zèn
鸺,鸟,11,xiū
瞿,目,18,qú
鐾,金,21,bèi
跃,足,11,yuè
仅,亻,4,jǐn
潄,氵,14,shù
菇,艹,11,ɡū
效,攵,10,xiào
筌,竹,12,quán
僑,亻,2,error
赘,贝,14,zhuì
荜,艹,9,bì
婢,女,11,bì
绥,纟,10,suí
镨,钅,17,pǔ
噪,口,16,zào
諭,讠,14,error
俯,亻,10,fǔ
胱,月,10,ɡuānɡ
硶,石,5,error
击,凵,5,jī
瑾,王,15,jǐn
侄,亻,8,zhí
指,扌,9,zhǐ
肆,聿,13,sì
蚊,虫,10,wén
完,宀,7,wán
缏,纟,12,biàn
鲎,鱼,13,hòu
冐,冂,9,mào
謗,讠,11,chén
脛,月,9,jìnɡ
堡,土,12,bǎo
鴣,鸟,10,ɡū
帥,巾,5,shuài
群,羊,13,qún
吩,口,7,fēn
怱,勹,2,error
昵,日,9,nì
爽,爻,11,shuǎnɡ
櫂,木,12,zhào
蹅,足,16,zhā
惆,忄,11,chóu
葉,口,5,yè
奋,大,8,fèn
驍,马,9,xiāo
遑,辶,12,huánɡ
啓,口,7,qǐ
狒,犭,8,fèi
陕,阝,8,shǎn
束,木,7,shù
絣,糹,8,xián
忤,忄,7,wǔ
獧,犭,10,juàn
郦,阝,9,lì
嗨,口,13,hēi
雪,雨,11,xuě
软,车,8,ruǎn
柴,木,10,chái
魷,鱼,12,yóu
屹,山,6,yì
剽,刂,13,piāo
殁,歹,8,mò
言,言,7,yán
涅,氵,10,niè
谄,讠,10,chǎn
枉,木,8,wǎnɡ
禍,礻,11,huò
頌,页,10,sònɡ
玑,王,6,jī
鈐,钅,9,qián
儒,亻,16,rú
疕,疒,11,error
鐔,钅,17,tán
欖,木,13,lǎn
辙,车,16,zhé
洚,氵,8,jiànɡ
膝,月,15,xī
鮡,魚,13,zhào
鶥,鸟,5,error
傧,亻,12,bīn
鞩,革,9,error
檫,木,18,chá
甪,用,6,lù
脲,月,11,niào
常,巾,11,chánɡ
值,亻,10,zhí
璿,王,15,xuán
霾,雨,22,mái
髋,骨,19,kuān
姍,女,8,shān
硌,石,11,ɡè
鳏,鱼,18,ɡuān
发,又,5,fā
懝,扌,12,ài
篡,竹,16,cuàn
奢,大,11,shē
緥,衤,14,bǎo
鱤,魚,8,error
卦,卜,8,ɡuà
矩,矢,9,jǔ
陨,阝,9,yǔn
啪,口,11,pā
潮,氵,15,cháo
菱,艹,11,línɡ
絺,糹,13,zhǐ
哿,口,10,ɡě
睾,目,14,ɡāo
渃,氵,8,rè
莆,艹,10,pú
